,nodes,techs,costs,Value,source_model
0,netherlands,battery,monetary,1016.0067195193457,results_plan_cluster_2013_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,30904.395543558025,results_plan_cluster_2013_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,18988.440172295643,results_plan_cluster_2013_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,28331.734524930245,results_plan_cluster_2013_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15256.287109139173,results_plan_cluster_2013_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,83100.24305182323,results_plan_cluster_2013_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22459.979559859636,results_plan_cluster_2013_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,30339.427466330344,results_plan_cluster_2013_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1628.3684250789681,results_plan_cluster_2013_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29652.987813679185,results_plan_cluster_2013_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18050.683288057822,results_plan_cluster_2013_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,13518.551748758022,results_plan_cluster_2013_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2013_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,73686.57253002464,results_plan_cluster_2013_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22494.440024177416,results_plan_cluster_2013_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,30028.474237721723,results_plan_cluster_2013_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,948.8533430608875,results_plan_cluster_2013_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30429.736572404814,results_plan_cluster_2013_2012_weights_1_9.netcdf
