nodes,techs,carriers,timesteps,flow_in
netherlands,hydrogen_storage_system,power,2019-01-10 02:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 03:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 04:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 05:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 06:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 07:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 08:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 09:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 10:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 11:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 12:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 13:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 14:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 15:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 16:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 17:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 18:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 19:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 20:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 21:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 22:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-10 23:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-11 00:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-11 01:00:00,1844414.5407510754
netherlands,hydrogen_storage_system,power,2019-01-11 02:00:00,4464940.87712449
netherlands,hydrogen_storage_system,power,2019-01-11 03:00:00,6409416.425006079
netherlands,hydrogen_storage_system,power,2019-01-11 04:00:00,6214933.040460853
netherlands,hydrogen_storage_system,power,2019-01-11 05:00:00,4181754.8439597413
netherlands,hydrogen_storage_system,power,2019-01-11 06:00:00,1982091.7748112455
netherlands,hydrogen_storage_system,power,2019-01-11 07:00:00,868582.1427740958
netherlands,hydrogen_storage_system,power,2019-01-11 08:00:00,3751872.145805279
netherlands,hydrogen_storage_system,power,2019-01-11 09:00:00,4783771.781466268
netherlands,hydrogen_storage_system,power,2019-01-11 10:00:00,5206258.901798301
netherlands,hydrogen_storage_system,power,2019-01-11 11:00:00,6056345.187854091
netherlands,hydrogen_storage_system,power,2019-01-11 12:00:00,7345805.226417959
netherlands,hydrogen_storage_system,power,2019-01-11 13:00:00,10607740.088691466
netherlands,hydrogen_storage_system,power,2019-01-11 14:00:00,11853777.837102482
netherlands,hydrogen_storage_system,power,2019-01-11 15:00:00,12145582.300223637
netherlands,hydrogen_storage_system,power,2019-01-11 16:00:00,11338767.698532239
netherlands,hydrogen_storage_system,power,2019-01-11 17:00:00,10967366.647209805
netherlands,hydrogen_storage_system,power,2019-01-11 18:00:00,10537631.20446046
netherlands,hydrogen_storage_system,power,2019-01-11 19:00:00,11118559.882182043
netherlands,hydrogen_storage_system,power,2019-01-11 20:00:00,11105718.616532434
netherlands,hydrogen_storage_system,power,2019-01-11 21:00:00,10778995.236049898
netherlands,hydrogen_storage_system,power,2019-01-11 22:00:00,9524703.181908464
netherlands,hydrogen_storage_system,power,2019-01-11 23:00:00,8391958.216316903
netherlands,hydrogen_storage_system,power,2019-01-12 00:00:00,8130392.716938747
netherlands,hydrogen_storage_system,power,2019-01-12 01:00:00,8929351.232899277
netherlands,hydrogen_storage_system,power,2019-01-12 02:00:00,9993654.932841232
netherlands,hydrogen_storage_system,power,2019-01-12 03:00:00,10768558.632783188
netherlands,hydrogen_storage_system,power,2019-01-12 04:00:00,13162430.153138027
netherlands,hydrogen_storage_system,power,2019-01-12 05:00:00,15584311.83119123
netherlands,hydrogen_storage_system,power,2019-01-12 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 08:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 09:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 10:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 11:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 12:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 13:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 14:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 15:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 16:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 17:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 18:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-12 19:00:00,15914651.641737834
